t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787845765130,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765213,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765297,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765380,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765464,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765512,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765589,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765671,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765756,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765840,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845765924,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766006,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766339,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766421,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766505,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766589,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766673,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766756,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845766923,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767005,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767087,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767255,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767339,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767422,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767505,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767588,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767677,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767755,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845767922,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768006,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768256,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768337,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768422,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768506,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768590,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768672,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768756,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845768922,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769003,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769338,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769422,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769508,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769588,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769672,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769755,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769838,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845769923,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770006,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770256,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770339,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770421,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770515,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770588,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770672,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770756,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845770922,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771005,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771089,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771172,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771255,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771347,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771422,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771504,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771589,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771673,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771755,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771804,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771880,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845771966,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772047,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772130,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772212,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772296,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772379,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772462,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772546,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772630,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772712,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772795,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772879,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845772963,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773046,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773128,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773213,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773297,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773379,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773462,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773547,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773628,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773712,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773796,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773879,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845773972,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774045,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774129,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774212,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774296,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774379,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774463,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774546,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774628,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774712,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774794,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774879,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845774962,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775046,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775127,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775213,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775296,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775380,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775463,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775514,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775587,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775672,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775753,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775839,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845775921,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776005,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776171,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776335,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776419,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776503,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776590,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776670,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776752,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776838,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845776919,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777004,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777088,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777171,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777254,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777339,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777420,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777505,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777588,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777638,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845777712,0.0000,0.0000,0.0000,0.0000,0.0000,default
